Timestamp,First choice,Second choice,Third choice
3/16/2019 23:54:56,@mattyglesias,@scottlincicome,@mattyglesias
3/16/2019 23:55:05,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:55:29,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:55:48,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:55:58,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:56:00,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:56:02,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:56:11,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:56:22,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:56:26,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:56:45,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:56:59,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:57:00,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:57:02,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:57:19,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:57:28,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:57:47,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:57:54,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:58:03,@AlanMCole,@scottlincicome,@mattyglesias
3/16/2019 23:58:28,@scottlincicome,@AlanMCole,@mattyglesias
3/16/2019 23:58:28,@mattyglesias,@scottlincicome,@AlanMCole
3/16/2019 23:59:15,@mattyglesias,@AlanMCole,@scottlincicome
3/16/2019 23:59:16,@AlanMCole,@mattyglesias,@scottlincicome
3/16/2019 23:59:24,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:00:04,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:00:25,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:00:32,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:00:46,@scottlincicome,@AlanMCole,@mattyglesias
3/17/2019 0:01:52,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:01:53,@scottlincicome,@mattyglesias,@AlanMCole
3/17/2019 0:02:04,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:02:20,@AlanMCole,@mattyglesias,@scottlincicome
3/17/2019 0:02:38,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:02:56,@AlanMCole,@scottlincicome,@mattyglesias
3/17/2019 0:03:05,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:03:34,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:03:45,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:04:06,@mattyglesias,@AlanMCole,@scottlincicome
3/17/2019 0:04:16,@mattyglesias,@scottlincicome,@AlanMCole
3/17/2019 0:05:10,@scottlincicome,@mattyglesias,@AlanMCole
